date,family,forecast,lower_ci,upper_ci
2017-08-16,GROCERY I,227115.37357142862,193048.0675357143,261182.6796071429
2017-08-17,GROCERY I,229546.46936734696,195114.49896224492,263978.43977244897
2017-08-18,GROCERY I,234502.5241341108,199327.14551399418,269677.9027542274
2017-08-19,GROCERY I,233971.18158184094,198875.5043445648,269066.8588191171
2017-08-20,GROCERY I,233305.97423638962,198310.07810093116,268301.87037184805
2017-08-21,GROCERY I,229715.04884158814,195257.7915153499,264172.30616782635
2017-08-22,GROCERY I,230337.81381895786,195787.14174611418,264888.48589180154
2017-08-16,BEVERAGES,175549.57142857142,149217.13571428572,201882.00714285712
2017-08-17,BEVERAGES,178769.51020408163,151954.08367346937,205584.93673469385
2017-08-18,BEVERAGES,181958.15451895044,154664.43134110788,209251.877696793
2017-08-19,BEVERAGES,180936.3194502291,153795.87153269473,208076.76736776344
2017-08-20,BEVERAGES,180738.93651454753,153628.0960373654,207849.77699172965
2017-08-21,BEVERAGES,177651.07030234003,151003.40975698901,204298.730847691
2017-08-22,BEVERAGES,178053.79463124572,151345.72543655886,204761.86382593255
2017-08-16,PRODUCE,118688.18342857144,100884.95591428572,136491.41094285715
2017-08-17,PRODUCE,115099.90720408164,97834.9211234694,132364.89328469388
2017-08-18,PRODUCE,118657.85051895045,100859.17294110788,136456.52809679302
2017-08-19,PRODUCE,118646.38016451479,100849.42313983757,136443.337189192
2017-08-20,PRODUCE,119626.09861658832,101682.18382410007,137570.01340907655
2017-08-21,PRODUCE,118726.42670467237,100917.46269897152,136535.3907103732
2017-08-22,PRODUCE,119221.97394819699,101338.67785596744,137105.27004042652
2017-08-16,CLEANING,55010.0,46758.5,63261.49999999999
2017-08-17,CLEANING,55585.0,47247.25,63922.74999999999
2017-08-18,CLEANING,57067.857142857145,48507.67857142857,65628.03571428571
2017-08-19,CLEANING,57265.83673469388,48675.9612244898,65855.71224489796
2017-08-20,CLEANING,57170.241982507294,48594.7056851312,65745.77827988338
2017-08-21,CLEANING,56514.99083715119,48037.74221157851,64992.23946272387
2017-08-22,CLEANING,56726.84667102993,48217.819670375444,65235.873671684414
2017-08-16,DAIRY,42664.857142857145,36265.12857142857,49064.58571428571
2017-08-17,DAIRY,42706.40816326531,36300.446938775516,49112.369387755105
2017-08-18,DAIRY,43857.609329446066,37278.967930029154,50436.25072886297
2017-08-19,DAIRY,43707.41066222407,37151.29906289046,50263.52226155768
2017-08-20,DAIRY,43829.32647111323,37254.92750044625,50403.72544178021
2017-08-21,DAIRY,42931.80168127226,36492.03142908142,49371.5719334631
2017-08-22,DAIRY,42914.9162071683,36477.67877609305,49352.153638243544
