item_nbr,familia,clase_abc,demanda_promedio_diaria,std_demanda,cv,ventas_totales,dias_con_venta,lead_time,stock_seguridad,punto_pedido,stock_actual,dias_cobertura
1503844,PRODUCE,A,3711.018812559242,2124.7923029890935,57.25630642987137,6264199.755600001,1198,7,9275.758835266019,35252.890523180715,51663.0,13.921513904795184
1047679,BEVERAGES,A,3265.921208530806,1189.446051147932,36.419924891054286,5512875.0,1925,7,5192.514441287647,28053.962901003288,34199.0,10.471471237784277
1473474,PRODUCE,A,2956.3522780805674,1618.8571457938783,54.7586009217052,4990322.645399998,1198,7,7067.104136252217,27761.570082816186,25852.0,8.744560041668848
364606,GROCERY I,A,2616.366113744076,956.8209431766788,36.57060600771379,4416426.0,1930,7,4176.991937025198,22491.55473323373,18436.0,7.046414453678155
819932,BEVERAGES,A,2613.1178909952605,1109.0408029819887,42.441284673903,4410943.0,1872,7,4841.506161547643,23133.331398514467,29973.0,11.470205804065028
1463992,BEVERAGES,A,2611.6972748815165,1640.3292274934615,62.80701991266876,4408545.0,1207,7,7160.840286960349,25442.721211130964,22439.0,8.591730831827736
807493,BEVERAGES,A,2560.0853080568722,1468.6071375185168,57.365554690566256,4321424.0,1920,7,6411.189278221911,24331.78643462002,23082.0,9.016105802161508
265559,GROCERY I,A,2436.508886255924,1189.335439416577,48.81309672726769,4112827.0,1930,7,5192.031566917783,22247.593770709253,20839.0,8.55281099837168
502331,BREAD/BAKERY,A,2193.9277251184835,831.6832837025277,37.90841759190642,3703350.0,1931,7,3630.70477810667,18988.198853936054,22165.0,10.102885225539039
314384,GROCERY I,A,2099.7280805687205,797.1137503106648,37.96271325260188,3544341.0,1931,7,3479.7918374208894,18177.888401401935,18248.0,8.690649122079392
559870,GROCERY I,A,2092.8436018957345,1206.2902558184414,57.63881518550944,3532720.0,1929,7,5266.0476426625355,19915.95285593268,17877.0,8.541966530039177
1143685,BEVERAGES,A,2072.922393364929,1427.1779377290823,68.84859473259758,3499093.0,1785,7,6230.330534784143,20740.787288338644,20186.0,9.737942946929389
584028,MEATS,A,1926.6605659952645,657.1714237588606,34.10935145285347,3252203.0354000065,1925,7,2868.8750574069118,16355.499019373765,22074.0,11.457129703901488
1167614,EGGS,A,1909.0154028436018,1306.9514683983368,68.46207036630234,3222418.0,1653,7,5705.483125670941,19068.590945576154,19123.0,10.017205713225287
1430040,BEVERAGES,A,1762.757701421801,1466.1143619794177,83.17163276591461,2975535.0,1004,7,6400.307092373156,18739.611002325764,15601.0,8.850337166257496
364738,BEVERAGES,A,1742.1575829383887,943.6858534422736,54.167651806251506,2940762.0,1927,7,4119.6508385637035,16314.753919132425,14999.0,8.609439322189283
1463993,BEVERAGES,A,1688.9152843601896,1429.9488562035986,84.66670113328419,2850889.0,991,7,6242.426950742371,18064.8339412637,15704.0,9.298275730833435
584126,MEATS,A,1593.18497008294,598.9710889060356,37.595828491581464,2689296.2295000027,1882,7,2614.802097208833,13767.096887789412,18804.0,11.802772655469552
320682,GROCERY I,A,1581.8726303317535,603.3005312895381,38.13837598056252,2670201.0,1930,7,2633.702233181678,13706.810645503952,11903.0,7.524626048750638
903285,POULTRY,A,1569.1599715639825,736.7820384729386,46.953914949703154,2648742.0320000025,1919,7,3216.4143730267215,14200.5341739746,15736.0,10.02829557544469
1463860,BEVERAGES,A,1531.5947867298578,1038.9614201079976,67.83526746825166,2585332.0,1208,7,4535.575340003835,15256.73884711284,9110.0,5.948048451804256
1463810,BEVERAGES,A,1507.414691943128,1976.3370259253002,131.10771949407695,2544516.0,983,7,8627.678857788138,19179.581701390034,16218.0,10.758817786958305
1695835,PRODUCE,A,1497.1244083530821,885.7450745915291,59.16309089943278,2527146.0013000024,1198,7,3866.7109674097437,14346.58182588132,14813.0,9.89430131347274
1052563,GROCERY I,A,1448.1552132701422,587.2213171543004,40.54961179390919,2444486.0,1927,7,2563.508590081009,12700.595082972006,14784.0,10.208850449542357
1463814,BEVERAGES,A,1426.593009478673,1459.7593407282407,102.3248628746392,2408089.0,1049,7,6372.564312791366,16358.715379142077,15204.0,10.6575595835536
261052,GROCERY I,A,1424.1386255924172,683.2576952188957,47.97690919552669,2403946.0,1930,7,2982.7544058186,12951.72478496552,17389.0,12.21018774964163
839362,BEVERAGES,A,1397.0710900473935,872.806462355405,62.47401929459412,2358256.0,1929,7,3810.2275894360587,13589.725219767814,19384.0,13.874741334274141
564533,GROCERY I,A,1375.1196682464456,551.7871960880801,40.12648563100838,2321202.0,1931,7,2408.8213008398425,12034.658978564963,17394.0,12.649080950300748
1146786,GROCERY I,A,1361.3086492890995,688.654279534457,50.58766649973795,2297889.0,1844,7,3006.313138865076,12535.473683888773,5235.0,3.8455643418807437
1162382,GROCERY I,A,1344.3803317535544,909.919242170644,67.68317124840578,2269314.0,1714,7,3972.2430460942023,13382.905368369084,6627.0,4.929408623046436
903284,POULTRY,A,1326.5446392180083,586.5882524954473,44.21926222107672,2239207.350999998,1925,7,2560.7449528566126,11846.55742738267,11727.0,8.840260367651863
