item_nbr,familia,clase_abc,ventas_totales,demanda_promedio_diaria,stock_seguridad,punto_pedido,stock_actual,dias_cobertura,stock_faltante,nivel_riesgo_pct,nivel_riesgo,riesgo_rotura,score_riesgo
1503844,PRODUCE,A,6264199.755600001,3711.018812559242,9275.758835266019,35252.890523180715,51663.0,13.921513904795184,0.0,0.0,Sin Riesgo,0,0.0
1047679,BEVERAGES,A,5512875.0,3265.921208530806,5192.514441287647,28053.962901003288,34199.0,10.471471237784277,0.0,0.0,Sin Riesgo,0,0.0
1473474,PRODUCE,A,4990322.645399998,2956.3522780805674,7067.104136252217,27761.570082816186,25852.0,8.744560041668848,1909.5700828161862,6.878465724812045,Riesgo Bajo,1,5.479672521849434
364606,GROCERY I,A,4416426.0,2616.366113744076,4176.991937025198,22491.55473323373,18436.0,7.046414453678155,4055.55473323373,18.031455723428515,Riesgo Medio,1,12.712651732347398
819932,BEVERAGES,A,4410943.0,2613.1178909952605,4841.506161547643,23133.331398514467,29973.0,11.470205804065028,0.0,0.0,Sin Riesgo,0,0.0
1463992,BEVERAGES,A,4408545.0,2611.6972748815165,7160.840286960349,25442.721211130964,22439.0,8.591730831827736,3003.7212111309636,11.805817413181662,Riesgo Medio,1,8.308559649820715
807493,BEVERAGES,A,4321424.0,2560.0853080568722,6411.189278221911,24331.78643462002,23082.0,9.016105802161508,1249.7864346200186,5.136435164669141,Riesgo Bajo,1,3.5434237510069826
265559,GROCERY I,A,4112827.0,2436.508886255924,5192.031566917783,22247.593770709253,20839.0,8.55281099837168,1408.5937707092526,6.331443234835489,Riesgo Bajo,1,4.156976421755974
502331,BREAD/BAKERY,A,3703350.0,2193.9277251184835,3630.70477810667,18988.198853936054,22165.0,10.102885225539039,0.0,0.0,Sin Riesgo,0,0.0
314384,GROCERY I,A,3544341.0,2099.7280805687205,3479.7918374208894,18177.888401401935,18248.0,8.690649122079392,0.0,0.0,Sin Riesgo,0,0.0
559870,GROCERY I,A,3532720.0,2092.8436018957345,5266.0476426625355,19915.95285593268,17877.0,8.541966530039177,2038.952855932679,10.237787118105695,Riesgo Medio,1,5.773640164578398
1143685,BEVERAGES,A,3499093.0,2072.922393364929,6230.330534784143,20740.787288338644,20186.0,9.737942946929389,554.7872883386444,2.674861279979326,Riesgo Bajo,1,1.4941395143696554
584028,MEATS,A,3252203.0354000065,1926.6605659952645,2868.8750574069118,16355.499019373765,22074.0,11.457129703901488,0.0,0.0,Sin Riesgo,0,0.0
1167614,EGGS,A,3222418.0,1909.0154028436018,5705.483125670941,19068.590945576154,19123.0,10.017205713225287,0.0,0.0,Sin Riesgo,0,0.0
1430040,BEVERAGES,A,2975535.0,1762.757701421801,6400.307092373156,18739.611002325764,15601.0,8.850337166257496,3138.6110023257643,16.748538707320193,Riesgo Medio,1,7.9556631440327665
364738,BEVERAGES,A,2940762.0,1742.1575829383887,4119.6508385637035,16314.753919132425,14999.0,8.609439322189283,1315.753919132425,8.064810083279474,Riesgo Bajo,1,3.7860681260879536
1463993,BEVERAGES,A,2850889.0,1688.9152843601896,6242.426950742371,18064.8339412637,15704.0,9.298275730833435,2360.8339412636997,13.068672255387204,Riesgo Medio,1,5.947660584128351
584126,MEATS,A,2689296.2295000027,1593.18497008294,2614.802097208833,13767.096887789412,18804.0,11.802772655469552,0.0,0.0,Sin Riesgo,0,0.0
320682,GROCERY I,A,2670201.0,1581.8726303317535,2633.702233181678,13706.810645503952,11903.0,7.524626048750638,1803.8106455039524,13.159958885808571,Riesgo Medio,1,5.609612839282639
903285,POULTRY,A,2648742.0320000025,1569.1599715639825,3216.4143730267215,14200.5341739746,15736.0,10.02829557544469,0.0,0.0,Sin Riesgo,0,0.0
1463860,BEVERAGES,A,2585332.0,1531.5947867298578,4535.575340003835,15256.73884711284,9110.0,5.948048451804256,6146.73884711284,40.28868101308583,Riesgo Alto,1,16.627760979015356
1463810,BEVERAGES,A,2544516.0,1507.414691943128,8627.678857788138,19179.581701390034,16218.0,10.758817786958305,2961.581701390034,15.441325819819077,Riesgo Medio,1,6.2722617641013265
1695835,PRODUCE,A,2527146.0013000024,1497.1244083530821,3866.7109674097437,14346.58182588132,14813.0,9.89430131347274,0.0,0.0,Sin Riesgo,0,0.0
1052563,GROCERY I,A,2444486.0,1448.1552132701422,2563.508590081009,12700.595082972006,14784.0,10.208850449542357,0.0,0.0,Sin Riesgo,0,0.0
1463814,BEVERAGES,A,2408089.0,1426.593009478673,6372.564312791366,16358.715379142077,15204.0,10.6575595835536,1154.715379142077,7.05871672915331,Riesgo Bajo,1,2.713517890995472
261052,GROCERY I,A,2403946.0,1424.1386255924172,2982.7544058186,12951.72478496552,17389.0,12.21018774964163,0.0,0.0,Sin Riesgo,0,0.0
839362,BEVERAGES,A,2358256.0,1397.0710900473935,3810.2275894360587,13589.725219767814,19384.0,13.874741334274141,0.0,0.0,Sin Riesgo,0,0.0
564533,GROCERY I,A,2321202.0,1375.1196682464456,2408.8213008398425,12034.658978564963,17394.0,12.649080950300748,0.0,0.0,Sin Riesgo,0,0.0
1146786,GROCERY I,A,2297889.0,1361.3086492890995,3006.313138865076,12535.473683888773,5235.0,3.8455643418807437,7300.473683888773,58.238514698265554,Riesgo Alto,1,21.363565582634358
1162382,GROCERY I,A,2269314.0,1344.3803317535544,3972.2430460942023,13382.905368369084,6627.0,4.929408623046436,6755.905368369084,50.481604572478545,Riesgo Alto,1,18.2878286881541
903284,POULTRY,A,2239207.350999998,1326.5446392180083,2560.7449528566126,11846.55742738267,11727.0,8.840260367651863,119.55742738266963,1.0092166278307921,Riesgo Bajo,1,0.36075562401564654
457928,POULTRY,A,2225450.2330000005,1318.3946877962087,2678.3682459295133,11907.131060502976,12499.0,9.480469024714424,0.0,0.0,Sin Riesgo,0,0.0
220435,GROCERY I,A,2167635.0,1284.1439573459716,2495.2621196778446,11484.269821099646,11582.0,9.019238017470654,0.0,0.0,Sin Riesgo,0,0.0
1464086,BEVERAGES,A,2134704.0,1264.6350710900474,3332.8718515736477,12185.317349203979,9521.0,7.528654089747337,2664.3173492039787,21.864981213460382,Riesgo Medio,1,7.451113418688874
582864,MEATS,A,2134686.798899998,1264.6248808649277,2134.079092726123,10986.453258780617,9801.0,7.750124284520405,1185.453258780617,10.790136096316402,Riesgo Medio,1,3.6770157373333587
1473410,PRODUCE,A,2115222.6468999977,1253.0939851303303,3199.90651331017,11971.564409222483,11243.0,8.972192136753934,728.5644092224829,6.085791165782994,Riesgo Bajo,1,2.054979694199605
1047690,BEVERAGES,A,2113502.0,1252.074644549763,2757.285924196506,11521.808436044848,9094.0,7.263145244243914,2427.8084360448483,21.071418167739083,Riesgo Medio,1,7.109365310475681
159156,POULTRY,A,2107636.604199997,1248.5998840047378,2675.6990195636954,11415.89820759686,14958.0,11.979818508411173,0.0,0.0,Sin Riesgo,0,0.0
1503847,PRODUCE,A,2074110.636199998,1228.7385285545013,3355.6028799035394,11956.772579785049,10185.0,8.28898888031266,1771.772579785049,14.818150700470218,Riesgo Medio,1,4.906370354678433
315176,BEVERAGES,A,2045250.0,1211.6409952606634,2765.27576045125,11246.762727275895,9910.0,8.178990343478793,1336.7627272758946,11.885755569768964,Riesgo Medio,1,3.8806779042028747
273528,PERSONAL CARE,A,2041030.0,1209.1409952606634,2534.2357340243484,10998.222700848994,13597.0,11.245173270358594,0.0,0.0,Sin Riesgo,0,0.0
414750,GROCERY I,A,1978341.0,1172.0029620853081,2737.7099563508946,10941.730690948052,9240.0,7.883939118685808,1701.7306909480521,15.552664738457429,Riesgo Medio,1,4.911796480282823
215352,GROCERY I,A,1970619.0,1167.428317535545,2222.2147596394975,10394.212982388312,10681.0,9.149169880123962,0.0,0.0,Sin Riesgo,0,0.0
968432,BEVERAGES,A,1943481.0,1151.3513033175354,2905.9820378104,10965.441161033148,13666.0,11.86953101162296,0.0,0.0,Sin Riesgo,0,0.0
1463855,BEVERAGES,A,1939965.0,1149.26836492891,3567.2534433841947,11612.131997886565,13128.0,11.422919485660824,0.0,0.0,Sin Riesgo,0,0.0
1642399,PRODUCE,A,1938068.1639999996,1148.1446469194311,4639.761403602166,12676.773932038184,9228.0,8.037314832028787,3448.7739320381843,27.205454246699556,Riesgo Alto,1,8.417040774530149
1427659,DAIRY,A,1932737.0,1144.9863744075828,2501.9851083137064,10516.889729166785,12546.0,10.957335633353116,0.0,0.0,Sin Riesgo,0,0.0
414353,GROCERY I,A,1929953.0,1143.3370853080569,2009.6584581882387,10013.018055344637,11471.0,10.032911682305217,0.0,0.0,Sin Riesgo,0,0.0
1463862,BEVERAGES,A,1924160.0,1139.9052132701422,3106.70251523127,11086.039008122265,12187.0,10.691239813736903,0.0,0.0,Sin Riesgo,0,0.0
305080,GROCERY I,A,1893822.0,1121.9324644549763,2373.375246523941,10226.902497708776,3730.0,3.3246207932952516,6496.902497708776,63.52756857870049,Riesgo Alto,1,19.205949949680065
841842,GROCERY I,A,1891177.0,1120.3655213270142,5841.438248189392,13683.996897478492,9330.0,8.327639348405782,4353.9968974784915,31.81816635957283,Riesgo Alto,1,9.605981090817606
1158720,GROCERY I,A,1847559.0,1094.5254739336492,3340.8074851848814,11002.485802720426,12719.0,11.620560967200507,0.0,0.0,Sin Riesgo,0,0.0
257847,BEVERAGES,A,1826579.0,1082.0965639810427,2981.461312087621,10556.13725995492,10287.0,9.50654529587825,269.1372599549195,2.5495809056585617,Riesgo Bajo,1,0.7434327005478532
